Citing ID,Citing Venue Name,Citing Venue SciMap Name,Citing Venue SciMap ID,Citing Publication Year,Cited ID,Cited Venue Name,Cited Venue SciMap Name,Cited Venue SciMap ID,Cited Publication Year
35071,Phys.Rev.,PHYSICAL REVIEW D,14759,1993,348147,Science,SCIENCE,17311,1992
35071,Phys.Rev.,PHYSICAL REVIEW D,14759,1993,312824,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1990
35071,Phys.Rev.,PHYSICAL REVIEW D,14759,1993,334219,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1992
35071,Phys.Rev.,PHYSICAL REVIEW D,14759,1993,320933,Phys.Rev.,PHYSICAL REVIEW D,14759,1991
35071,Phys.Rev.,PHYSICAL REVIEW D,14759,1993,335505,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1992
35071,Phys.Rev.,PHYSICAL REVIEW D,14759,1993,345499,Phys.Rev.,PHYSICAL REVIEW D,14759,1992
35071,Phys.Rev.,PHYSICAL REVIEW D,14759,1993,331222,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1991
35071,Phys.Rev.,PHYSICAL REVIEW D,14759,1993,320929,Phys.Rev.,PHYSICAL REVIEW D,14759,1991
362797,Phys.Lett.,PHYSICS LETTERS B,14781,1993,348147,Science,SCIENCE,17311,1992
362797,Phys.Lett.,PHYSICS LETTERS B,14781,1993,305123,Phys.Rev.,PHYSICAL REVIEW D,14759,1990
362797,Phys.Lett.,PHYSICS LETTERS B,14781,1993,361191,Phys.Lett.,PHYSICS LETTERS B,14781,1993
363712,NA,NA,NA,1993,342779,Phys.Rev.,PHYSICAL REVIEW D,14759,1992
363712,NA,NA,NA,1993,342795,Phys.Rev.,PHYSICAL REVIEW D,14759,1992
363712,NA,NA,NA,1993,358599,Phys.Rev.,PHYSICAL REVIEW D,14759,1993
384167,Phys.Lett.,PHYSICS LETTERS B,14781,1994,348147,Science,SCIENCE,17311,1992
384167,Phys.Lett.,PHYSICS LETTERS B,14781,1994,305123,Phys.Rev.,PHYSICAL REVIEW D,14759,1990
384167,Phys.Lett.,PHYSICS LETTERS B,14781,1994,362797,Phys.Lett.,PHYSICS LETTERS B,14781,1993
384167,Phys.Lett.,PHYSICS LETTERS B,14781,1994,365671,Rev.Sci.Instrum.,REVIEW OF SCIENTIFIC INSTRUMENTS,16701,1993
384167,Phys.Lett.,PHYSICS LETTERS B,14781,1994,361191,Phys.Lett.,PHYSICS LETTERS B,14781,1993
392622,NA,NA,NA,1995,348147,Science,SCIENCE,17311,1992
392622,NA,NA,NA,1995,342795,Phys.Rev.,PHYSICAL REVIEW D,14759,1992
392622,NA,NA,NA,1995,34801,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1993
392622,NA,NA,NA,1995,358599,Phys.Rev.,PHYSICAL REVIEW D,14759,1993
392622,NA,NA,NA,1995,316537,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1991
392622,NA,NA,NA,1995,329699,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1991
392622,NA,NA,NA,1995,377306,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1994
404589,NA,NA,NA,1995,391755,Rev.Mod.Phys.,REVIEWS OF MODERN PHYSICS,16732,1994
404589,NA,NA,NA,1995,319451,Phys.Rev.,PHYSICAL REVIEW D,14759,1991
404589,NA,NA,NA,1995,390877,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1994
404589,NA,NA,NA,1995,335505,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1992
404589,NA,NA,NA,1995,348147,Science,SCIENCE,17311,1992
404589,NA,NA,NA,1995,305123,Phys.Rev.,PHYSICAL REVIEW D,14759,1990
404589,NA,NA,NA,1995,361191,Phys.Lett.,PHYSICS LETTERS B,14781,1993
404589,NA,NA,NA,1995,384167,Phys.Lett.,PHYSICS LETTERS B,14781,1994
404589,NA,NA,NA,1995,361873,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1993
404589,NA,NA,NA,1995,329699,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1991
404589,NA,NA,NA,1995,316537,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1991
404589,NA,NA,NA,1995,332604,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1992
404589,NA,NA,NA,1995,350789,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1992
404589,NA,NA,NA,1995,370746,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1993
404589,NA,NA,NA,1995,372874,Phys.Rev.,PHYSICAL REVIEW D,14759,1994
404589,NA,NA,NA,1995,27231,Phys.Rev.,PHYSICAL REVIEW D,14759,1990
404589,NA,NA,NA,1995,370887,Phys.Rev.,PHYSICAL REVIEW D,14759,1993
404589,NA,NA,NA,1995,37257,Phys.Rev.,PHYSICAL REVIEW D,14759,1994
404589,NA,NA,NA,1995,342795,Phys.Rev.,PHYSICAL REVIEW D,14759,1992
404589,NA,NA,NA,1995,377605,Phys.Rev.,PHYSICAL REVIEW D,14759,1994
404589,NA,NA,NA,1995,359917,Phys.Rev.,PHYSICAL REVIEW D,14759,1993
404589,NA,NA,NA,1995,373637,Prog.Theor.Phys.,PROGRESS OF THEORETICAL PHYSICS,16030,1994
404589,NA,NA,NA,1995,38371,Phys.Rev.,PHYSICAL REVIEW D,14759,1994
404589,NA,NA,NA,1995,356664,Phys.Rev.,PHYSICAL REVIEW D,14759,1993
404589,NA,NA,NA,1995,379525,Phys.Rev.,PHYSICAL REVIEW D,14759,1994
404589,NA,NA,NA,1995,34801,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1993
404589,NA,NA,NA,1995,358599,Phys.Rev.,PHYSICAL REVIEW D,14759,1993
404589,NA,NA,NA,1995,340502,Prog.Theor.Phys.,PROGRESS OF THEORETICAL PHYSICS,16030,1992
404589,NA,NA,NA,1995,379784,Phys.Rev.,PHYSICAL REVIEW D,14759,1994
404589,NA,NA,NA,1995,363207,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1993
404589,NA,NA,NA,1995,323708,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1991
404589,NA,NA,NA,1995,1474770,Phys.Rev.,PHYSICAL REVIEW D,14759,1992
404589,NA,NA,NA,1995,30624,Phys.Rev.,PHYSICAL REVIEW D,14759,1991
404589,NA,NA,NA,1995,385085,Phys.Rev.,PHYSICAL REVIEW D,14759,1994
404589,NA,NA,NA,1995,307552,Rev.Mod.Phys.,REVIEWS OF MODERN PHYSICS,16732,1990
404589,NA,NA,NA,1995,375884,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1994
404589,NA,NA,NA,1995,376274,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1994
404589,NA,NA,NA,1995,335910,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1992
404589,NA,NA,NA,1995,407057,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1995
404589,NA,NA,NA,1995,312824,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,1990
404589,NA,NA,NA,1995,34455,Class.Quant.Grav.,CLASSICAL AND QUANTUM GRAVITY,3723,1993
404589,NA,NA,NA,1995,35071,Phys.Rev.,PHYSICAL REVIEW D,14759,1993
404589,NA,NA,NA,1995,359538,Phys.Rev.,PHYSICAL REVIEW D,14759,1993
405747,Phys.Rev.,PHYSICAL REVIEW D,14759,1995,348147,Science,SCIENCE,17311,1992
405747,Phys.Rev.,PHYSICAL REVIEW D,14759,1995,305123,Phys.Rev.,PHYSICAL REVIEW D,14759,1990
405747,Phys.Rev.,PHYSICAL REVIEW D,14759,1995,343925,JETP Lett.,NA,NA,1992
405747,Phys.Rev.,PHYSICAL REVIEW D,14759,1995,385301,Rev.Sci.Instrum.,REVIEW OF SCIENTIFIC INSTRUMENTS,16701,1994
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,316514,Phys.Lett.,PHYSICS LETTERS B,14781,1991
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,340727,Astropart.Phys.,ASTROPARTICLE PHYSICS,2098,1992
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,357891,Mod.Phys.Lett.,NA,NA,1993
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,396935,Phys.Lett.,PHYSICS LETTERS B,14781,1995
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,33688,Phys.Rev.,PHYSICAL REVIEW D,14759,1992
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,420724,Phys.Rev.,PHYSICAL REVIEW D,14759,1996
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,348147,Science,SCIENCE,17311,1992
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,418031,NA,NA,NA,1996
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,417722,Phys.Rev.,PHYSICAL REVIEW D,14759,1996
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,420890,NA,NA,NA,1996
423015,Phys.Rev.,PHYSICAL REVIEW D,14759,1996,419187,Phys.Rev.,PHYSICAL REVIEW D,14759,1996
