Citing ID,Citing Venue Name,Citing Venue SciMap Name,Citing Venue SciMap ID,Citing Publication Year,Cited ID,Cited Venue Name,Cited Venue SciMap Name,Cited Venue SciMap ID,Cited Publication Year
592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,501600,Astropart.Phys.,ASTROPARTICLE PHYSICS,2098,1999
592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,555147,Nature,NATURE,13439,2001
592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,452222,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,1997
592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,541261,Ann.Rev.Nucl.Part.Sci.,NA,NA,2000
592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,472967,Phys.Rev.,PHYSICAL REVIEW D,14759,1998
592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,482397,Phys.Rev.,PHYSICAL REVIEW D,14759,1998
592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,375639,Astropart.Phys.,ASTROPARTICLE PHYSICS,2098,1994
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,586602,Phys.Rev.,PHYSICAL REVIEW D,14759,2002
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,555147,Nature,NATURE,13439,2001
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,557168,Astropart.Phys.,ASTROPARTICLE PHYSICS,2098,2001
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,589398,Phys.Rev.,PHYSICAL REVIEW D,14759,2002
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,583168,Phys.Rev.,PHYSICAL REVIEW D,14759,2002
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,379232,Phys.Rept.,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,14792,1994
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,541261,Ann.Rev.Nucl.Part.Sci.,NA,NA,2000
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,524052,Astropart.Phys.,ASTROPARTICLE PHYSICS,2098,2000
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,558150,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,2001
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,495530,Phys.Rev.,PHYSICAL REVIEW D,14759,1999
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,472967,Phys.Rev.,PHYSICAL REVIEW D,14759,1998
597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002,482397,Phys.Rev.,PHYSICAL REVIEW D,14759,1998
