Citing ID,Citing Venue Name,Citing Venue SciMap ID,Citing Publication Year,Cited ID,Cited Venue Name,Cited Venue SciMap ID,Cited Publication Year
2090626196,nature genetics,13453,2004,1988185025,nature,13439,2001
2093373663,proceedings of the national academy of sciences of the united states of america,15868,2002,1988185025,nature,13439,2001
2095418268,the journal of allergy and clinical immunology,NA,2002,1988185025,nature,13439,2001
2095870856,bmc genomics,2674,2006,1988185025,nature,13439,2001
2099589970,nucleic acids research,13928,2007,1988185025,nature,13439,2001
2099609712,pharmacogenomics,14634,2013,1988185025,nature,13439,2001
2104578006,chembiochem,3434,2004,1988185025,nature,13439,2001
2104670802,annual review of genomics and human genetics,1532,2003,1988185025,nature,13439,2001
2105131949,bioinformatics,2499,2003,1988185025,nature,13439,2001
2108233365,oncogene,14096,2006,1988185025,nature,13439,2001
2112975032,annual review of genomics and human genetics,1532,2003,1988185025,nature,13439,2001
2118733053,NA,NA,2009,1988185025,nature,13439,2001
2121150886,bioinformatics,2499,2012,1988185025,nature,13439,2001
2123218486,NA,NA,2006,1988185025,nature,13439,2001
2125621870,artificial intelligence in medicine,1959,2009,1988185025,nature,13439,2001
2126952425,african journal of biotechnology,802,2003,1988185025,nature,13439,2001
2127877893,plos biology,14918,2004,1988185025,nature,13439,2001
2130422352,journal of pharmacology and experimental therapeutics,11145,2005,1988185025,nature,13439,2001
2132280061,european heart journal supplements,5860,2002,1988185025,nature,13439,2001
2139265161,nucleic acids research,13928,2002,1988185025,nature,13439,2001
2139568879,dialogues in cardiovascular medicine,4948,2004,1988185025,nature,13439,2001
2139834014,NA,NA,2005,1988185025,nature,13439,2001
2141728002,bioinformatics,2499,2010,1988185025,nature,13439,2001
2148177291,journal of laboratory automation,NA,2001,1988185025,nature,13439,2001
2150569550,proceedings of the national academy of sciences of the united states of america,15868,2005,1988185025,nature,13439,2001
2154788678,biochemistry,2451,2001,1988185025,nature,13439,2001
2159893157,NA,NA,2006,1988185025,nature,13439,2001
2161462374,NA,NA,2012,1988185025,nature,13439,2001
2164872173,periodontology 2000,14550,2004,1988185025,nature,13439,2001
