,ID,Title,Type,Venue Name,Venue ID,Venue ISBN,Venue Acronym,Venue Presented At,Venue Extra,Venue Map Name,Venue Map ID,Citations,Collaborations,Experiments,Classification,Year,Citations 1992,Citations 1993,Citations 1994,Citations 1995,Citations 1996,Citations 1997,Citations 1998,Citations 1999,Citations 2000,Citations 2001,Citations 2002,Citations 2003,Citations 2004,Citations 2005,Citations 2006,Citations 2007,Citations 2008,Citations 2009,Citations 2010,Citations 2011,Citations 2012,Citations 2013,Citations 2014,Citations 2015,Citations 2016,Citations 2017,Citations 2018,Citations 2019,Citations 2020
15,383660,ATLAS liquid argon calorimetry for LHC,hep;core;conferencepaper,NA,,,,Talk given at,ICHEP 1994:1139-1142,NA,NA,,,CERN-LHC-ATLAS,Instrumentation,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,384153,Level 1 muon trigger in the ATLAS experiment at the Large Hadron Collider,hep;core;conferencepaper,NA,,,,,"In *Pavia 1993, Proceedings, The resistive plate chambers in particle physics and astrophysics* 61-72",NA,NA,,ATLAS,CERN-LHC-ATLAS,,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,384375,A Study of the decay B(d)0---> pi+ pi-,hep;core,NA,,,,,,NA,NA,,,CERN-LHC-ATLAS,Experiment-HEP,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,384376,Asymmetries in B decays and their experimental control,hep;core,NA,,,,,,NA,NA,,,CERN-LHC-ATLAS,Phenomenology-HEP;Experiment-HEP,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,385220,B physics in ATLAS,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,11,ATLAS,CERN-LHC-ATLAS,Experiment-HEP,1994,0,0,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,386786,ATLAS: Technical proposal for a general-purpose p p experiment at the Large Hadron Collider at CERN,hep;core;citeable,NA,,,,,,NA,NA,773,ATLAS,CERN-LHC-ATLAS,Instrumentation,1994,0,0,2,48,53,60,55,32,28,26,37,24,23,29,32,41,25,13,11,11,18,13,10,9,5,9,8,2,3
21,387304,The ATLAS electromagnetic liquid argon calorimeter at LHC: Design and R \& D results,hep;core;conferencepaper,NA,,,,Prepared for,"#DONE:In *Beijing 1994, Calorimetry* 159-168",NA,NA,,ATLAS,CERN-LHC-ATLAS,,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,387305,The ATLAS hadronic liquid argon calorimeter: Design and R \& D results,hep;core;conferencepaper,NA,,,,Prepared for,"#DONE:In *Beijing 1994, Calorimetry* 169-185",NA,NA,,,CERN-LHC-ATLAS,,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,387517,Possibility to investigate rare B decays with the ATLAS detector at LHC,hep;core;conferencepaper,NA,408350,,,Prepared for,,NA,NA,,,CERN-LHC-ATLAS,Experiment-HEP,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,387763,"A high rate, precision calorimetry readout",hep;core;conferencepaper,NA,,,,Prepared for,"#DONE:In *Chestnut Ridge 1994, Electronics for future colliders* 19-30",NA,NA,,,CERN-LHC-ATLAS,Instrumentation,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,387764,Prototypes for the ATLAS silicon outer tracker: Signal processing and readout,hep;core;conferencepaper,NA,,,,Prepared for,"#DONE:In *Chestnut Ridge 1994, Electronics for future colliders* 33-49",NA,NA,,,CERN-LHC-ATLAS,,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,392710,Cooling test and thermal simulation of silicon microstrip detector for high luminosity operation,hep;core,NA,,,,,,NA,NA,,,CERN-LHC-ATLAS,,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,396136,The Modified CERN POISSON program package and its application to the ATLAS magnetic system simulation,hep,NA,,,,,,NA,NA,,,CERN-LHC-ATLAS,,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,396830,Prototype tests of a 'jet cell' drift chamber for large area muon detection,published;core;citeable;hep,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,,ATLAS,CERN-LHC-ATLAS,,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,400734,Position and timing resolution of interpolating cathode strip chambers in a test beam,published;core;citeable;hep,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,18,,CERN-RD-005;CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,2,6,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
30,400742,Track reconstruction in the ATLAS detector using elastic arms,published;core;citeable;hep,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,12,,CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,0,0,1,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
31,401491,B(s)0 ---> D(s)- a1+ decay channel in the B(s)0 mixing studies,hep;core;citeable;arxiv,NA,,,,,,NA,NA,1,,CERN-LHC-ATLAS,Phenomenology-HEP,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,401958,Characterization of the Radiation Resistance of High Purity and High Resistive Type N Monocrystalline Silicon,hep;thesis,NA,,,,,,NA,NA,,,CERN-LHC-ATLAS,,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,403062,ATLAS barrel hadron calorimeter: Module Assembly and tooling design description,hep;core,NA,,,,,,NA,NA,,,CERN-LHC-ATLAS,,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,405151,Low p(T) muons in b jets in ATLAS TileCal,hep;core,NA,,,,,,NA,NA,,,CERN-LHC-ATLAS,Experiment-HEP,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
