,ID,Title,Type,Venue Name,Venue ID,Venue ISBN,Venue Acronym,Venue Presented At,Venue Extra,Venue Map Name,Venue Map ID,Citations,Collaborations,Experiments,Classification,Year,Citations 2002,Citations 2003,Citations 2004,Citations 2005,Citations 2006,Citations 2007,Citations 2008,Citations 2009,Citations 2010,Citations 2011,Citations 2012,Citations 2013,Citations 2014,Citations 2015,Citations 2016,Citations 2017,Citations 2018,Citations 2019,Citations 2020
0,551231,On the reconstruction of cascade-like events in the AMANDA detector,hep;thesis;core,NA,,,,,,NA,NA,,,AMANDA;ICECUBE,Astrophysics;Instrumentation,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,580295,The IceCube detector,hep;conferencepaper,NA,,,,Prepared for,,NA,NA,1,IceCube,ICECUBE,Astrophysics;Instrumentation,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,580678,Detection of cosmic muon-neutrinos with ICECUBE,hep;thesis;core,NA,,,,,,NA,NA,,,ICECUBE,Astrophysics;Instrumentation,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,580972,Amanda/ICE CUBE,hep;conferencepaper,NA,1479265,,,Slides presented at,,NA,NA,,,AMANDA;ICECUBE,Phenomenology-HEP,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,592426,Scientific goals of the IceCube neutrino detector at the South Pole,hep;core;conferencepaper;citeable,Nucl.Phys.Proc.Suppl.,599414,,,,,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,14,IceCube,ICECUBE,Astrophysics,2002,2,2,4,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
5,597012,Icecube - the next generation neutrino telescope at the south pole,conferencepaper;hep;core;citeable;arxiv,Nucl.Phys.Proc.Suppl.,,,,,,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,228,IceCube,ICECUBE,Astrophysics,2002,3,26,22,22,28,22,21,10,7,8,3,8,8,9,4,3,4,6,3
6,600304,Performance studies for the IceCube detector,hep;core;conferencepaper,NA,600297,,,,,NA,NA,,IceCube,ICECUBE,,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,610347,Construction and test of an optical module with optical analog pulse transmission for the AMANDA-II and ICECUBE detector,hep;thesis;core,NA,,,,,,NA,NA,,,AMANDA;ICECUBE,Astrophysics;Instrumentation,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,618572,Sensitivity of the IceCube detector to astrophysical sources of high energy muon neutrinos,published;hep;core;citeable;arxiv,Astropart.Phys.,,,,,,ASTROPARTICLE PHYSICS,2098,494,IceCube,ICECUBE,Astrophysics;Instrumentation,2003,0,21,40,52,58,55,37,59,28,31,15,27,12,10,9,5,7,4,3
9,620521,Development of the Java-based simulator for IceCube,hep;thesis;core,NA,,,,,,NA,NA,,,ICECUBE,Astrophysics,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,621048,IceCube's development environment,hep;conferencepaper;citeable;arxiv,eConf,,,,,,,,,,ICECUBE,Computing,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
