,ID,Title,Type,Venue Name,Venue ID,Venue ISBN,Venue Acronym,Venue Presented At,Venue Extra,Venue Map Name,Venue Map ID,Citations,Collaborations,Experiments,Classification,Year,Citations 1991,Citations 1992,Citations 1993,Citations 1994,Citations 1995,Citations 1996,Citations 1997,Citations 1998,Citations 1999,Citations 2000,Citations 2001,Citations 2002,Citations 2003,Citations 2004,Citations 2005,Citations 2006,Citations 2007,Citations 2008,Citations 2009,Citations 2010,Citations 2011,Citations 2012,Citations 2013,Citations 2014,Citations 2015,Citations 2016,Citations 2017,Citations 2018,Citations 2019,Citations 2020
70,639405,Searching for gravitational waves from binary inspirals with LIGO,published;conferencepaper;hep;review;citeable;arxiv,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,20,,LIGO,Gravitation and Cosmology,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,1,2,1,2,0,2,2,1,0,0,0
71,639462,Mirror thermal noise in interferometric gravitational wave detectors,hep;thesis;core,NA,,,,,,NA,NA,,,LIGO,Instrumentation,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,639465,Topics of LIGO physics: Quantum noise in advanced interferometers and template banks for compact-binary inspirals,hep;thesis;core,NA,,,,,,NA,NA,,,LIGO,Gravitation and Cosmology;Instrumentation,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,640068,Status of LIGO interferometers,hep;conferencepaper,NA,672206,,,Prepared for,,NA,NA,,,LIGO,Gravitation and Cosmology;Instrumentation,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,640318,The LIGO gravitational wave obervatories: Recent results and future plans,hep;conferencepaper,NA,705371,,,Prepared for,,NA,NA,1,LIGO Scientific,LIGO,Gravitation and Cosmology;Instrumentation,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,647281,Vetoes for inspiral triggers in LIGO data,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,Class.Quant.Grav. 21 (2004) S1747-S1756,CLASSICAL AND QUANTUM GRAVITY,3723,19,LIGO Scientific,LIGO,Gravitation and Cosmology;Instrumentation;gr-qc,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,2,0,4,0,0,1,0,1,0,1,0,0,2
76,648107,Proposal for lower frequency companions for the advanced LIGO gravitational wave interferometric detectors,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,4,,LIGO,Instrumentation,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
77,648304,Commissioning of LIGO detectors,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,39,,LIGO,Instrumentation,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,11,4,4,1,0,0,0,0,0,0,1,0,0,0,0
78,648313,LIGO laser intensity noise suppression,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,5,,LIGO,Instrumentation,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
79,648314,Characterization of the LIGO 4-km Fabry-Perot cavities via their high-frequency dynamic responses to length and laser frequency variations,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,7,,LIGO,Instrumentation,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,1
80,648331,First upper limit analysis and results from LIGO science data: Stochastic background,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,Class.Quant.Grav. 21 (2004) S685-S690,CLASSICAL AND QUANTUM GRAVITY,3723,,LIGO Scientific,LIGO,Astrophysics;Gravitation and Cosmology;Instrumentation;gr-qc,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,648341,Gamma ray bursts and gravitational waves: Triggered search strategy in the LIGO science runs,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,8,,LIGO,Instrumentation,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
82,648355,Advanced LIGO: Non-Gaussian beams,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,7,,LIGO,Instrumentation,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
83,648362,Seismic isolation enhancements for initial and advanced LIGO,published;conferencepaper;hep;core;citeable,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,30,,LIGO,Instrumentation,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,5,2,5,2,0,1,1,1,1
