,ID,Title,Type,Venue Name,Venue ID,Venue ISBN,Venue Acronym,Venue Presented At,Venue Extra,Venue Map Name,Venue Map ID,Citations,Collaborations,Experiments,Classification,Year,Citations 1991,Citations 1992,Citations 1993,Citations 1994,Citations 1995,Citations 1996,Citations 1997,Citations 1998,Citations 1999,Citations 2000,Citations 2001,Citations 2002,Citations 2003,Citations 2004,Citations 2005,Citations 2006,Citations 2007,Citations 2008,Citations 2009,Citations 2010,Citations 2011,Citations 2012,Citations 2013,Citations 2014,Citations 2015,Citations 2016,Citations 2017,Citations 2018,Citations 2019,Citations 2020
22,440715,Searching for periodic sources with LIGO,published;hep;core;citeable;arxiv,Phys.Rev.,,,,,,PHYSICAL REVIEW D,14759,185,,LIGO,Gravitation and Cosmology,1997,0,0,0,0,0,0,2,9,6,12,5,10,11,4,13,7,10,8,7,7,10,6,5,6,5,5,7,11,9,3
23,445234,Internal thermal noise in the LIGO test masses: A Direct approach,published;hep;core;citeable;arxiv,Phys.Rev.,,,,,,PHYSICAL REVIEW D,14759,247,,LIGO,Gravitation and Cosmology,1997,0,0,0,0,0,0,0,3,4,6,7,11,11,12,4,18,6,8,7,10,11,8,9,10,13,11,10,24,13,13
24,445903,Modeling LIGO data analysis,hep;core;conferencepaper,NA,479493,,,Talk given at,,NA,NA,,,LIGO,Instrumentation,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,451956,Can LIGO see compact binaries?,conferencepaper;hep;core;citeable;arxiv,NA,,,,To be published in the proceedings of,,NA,NA,1,,LIGO,Gravitation and Cosmology,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,458805,The LIGO project: Progress and plans,hep;core;conferencepaper,NA,486941,,,Prepared for,,NA,NA,,,LIGO,Instrumentation,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,458831,Automatic alignment in a LIGO prototype interferometer,hep;core;conferencepaper,NA,486941,,,Prepared for,,NA,NA,,,LIGO,Instrumentation,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,470060,High power interferometric phase measurement limited by quantum noise and application to detection of gravitational waves,published;core;citeable;hep,Phys.Rev.Lett.,,,,,,PHYSICAL REVIEW LETTERS,14761,19,,LIGO,Instrumentation,1998,0,0,0,0,0,0,0,0,0,3,6,2,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,2,0,0
29,470294,How to reduce the suspension thermal noise in LIGO without improving the Q's of the pendulum and violin modes,published;hep;core;citeable;arxiv,Measur.Sci.Tech.,,,,,,,,22,,LIGO,Gravitation and Cosmology,1998,0,0,0,0,0,0,0,0,1,6,2,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,4,0,0
30,480521,Searching for periodic sources with LIGO. 2. Hierarchical searches,published;hep;core;citeable;arxiv,Phys.Rev.,,,,,,PHYSICAL REVIEW D,14759,192,,LIGO,Gravitation and Cosmology,1998,0,0,0,0,0,0,0,0,8,12,10,8,6,6,11,7,5,8,2,7,12,6,9,8,9,13,5,12,10,8
31,485621,The detection of gravitational waves: LIGO,hep;core;conferencepaper,NA,509247,,,Prepared for,,NA,NA,,,LIGO,,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
